GeneID,meanExpr,log2FC,log2FC SE,p-value,adjpvalue
4490,9.92588131566935,3.93519284381791,0.206736674537233,9.84226972583383e-11,2.01943690234659e-06
4495,9.56152216020083,4.10988695243198,0.2436532857773,3.92405986241047e-10,4.0256930128469e-06
79974,6.38145403423013,2.53263622527666,0.174020963039105,2.0945142046024e-09,1.10314461417667e-05
4489,12.8433812796033,2.49812686922462,0.172051999070279,2.1505889739286e-09,1.10314461417667e-05
1638,6.42980967284898,2.3498363207083,0.170834235874329,3.95479176471263e-09,1.62288834856748e-05
4501,12.4975751346235,2.72798122571405,0.219584720164822,1.23493798417128e-08,3.92285991628854e-05
4494,13.2058638373818,1.71528169249125,0.139070897856946,1.3383380160844e-08,3.92285991628854e-05
3310,9.43465198358414,1.83899198357229,0.177669886343167,9.20428060372344e-08,0.000236066786783997
326343,12.1408125853368,1.31405807320931,0.131659883013062,1.36555302958131e-07,0.000295203212116721
8605,8.13101940919049,1.29776240974755,0.130657091770602,1.43875237409455e-07,0.000295203212116721
280661,9.15394329042299,-2.00004241575893,0.218959216013279,3.53331138813075e-07,0.000652252787868768
80177,6.28744647924789,2.02266544160428,0.223037039614899,3.81471559334497e-07,0.000652252787868768
1543,7.24338574873969,1.32314163586703,0.149070552812125,4.79130672627365e-07,0.000756215626228328
151760,8.02922881515653,1.25230592186014,0.14754893180494,7.67878929498615e-07,0.00112538141967518
7779,10.7601360637146,1.06904813251075,0.133429270600306,1.39996529302029e-06,0.00191496585881268
8972,5.65568029109617,1.05988540505339,0.135500811221447,1.79380797395066e-06,0.00230033450059497
131909,6.91646367033669,1.28525423980816,0.170572054078828,2.63089414919657e-06,0.00317533447960089
1132,8.79447586998943,1.32670555674508,0.181711974143996,3.62319097483108e-06,0.00413003513453245
402778,8.62916568683619,1.05693325660943,0.148862057540657,4.79960441680691e-06,0.0051830675486339
10112,9.87581661926651,-1.06011370583931,0.1526087049261,5.97145869990146e-06,0.00612611948022891
55301,6.85339264893242,1.31180447981053,0.190544790020171,6.52980424083385e-06,0.00637992968635376
54039,7.43696188166042,1.00326875023625,0.146715592821339,6.98226938031022e-06,0.00651191832478205
9918,11.5896937424434,-0.861203106136838,0.126614851731261,7.36182004714919e-06,0.00656738364032204
8291,7.04952042251472,-0.838704842691108,0.125717541549588,8.91190381112632e-06,0.00761893509986208
2354,8.47257689443999,1.05607683323263,0.159933017024976,9.85695574933691e-06,0.00808980072259579
1368,9.22926354314128,0.967954656669939,0.147712572767678,1.06233107507308e-05,0.00832642215839191
57823,8.31432914996669,1.04117113665507,0.159564207088413,1.1075248841235e-05,0.00832642215839191
4493,8.13748765519182,1.0308851828213,0.158928748952935,1.17359921992489e-05,0.00832642215839191
92737,8.44544016460389,0.931639865392135,0.14366913841996,1.17685077782126e-05,0.00832642215839191
5653,6.88450632585335,0.997627903122448,0.157428719900913,1.47170732219529e-05,0.00925522764485539
1466,9.66417792639518,0.85086715940513,0.134389807833714,1.48451624962247e-05,0.00925522764485539
397,6.76651232647908,1.05057218229611,0.166080014037234,1.49735626441579e-05,0.00925522764485539
7780,7.48325472328848,1.2577620189581,0.198995630964872,1.50918422213022e-05,0.00925522764485539
28231,9.89246804303427,1.0459721537947,0.166224444723308,1.57533816574164e-05,0.00925522764485539
54997,10.8404099450047,0.911900286189976,0.144950665602207,1.57877457632293e-05,0.00925522764485539
10551,10.3773813361285,-1.22238393685893,0.196008146815038,1.71735365989045e-05,0.00978796177600894
133748,6.46632748671462,-0.725676628141726,0.118292216036804,2.01086403048084e-05,0.0111510562641637
4118,7.40096579871154,1.07122772732331,0.175896812147566,2.15565888821032e-05,0.011457066734341
774,7.45241586631447,0.72912652465633,0.119851391745435,2.1777249373199e-05,0.011457066734341
64109,7.51165658821049,-1.23201402164966,0.204246004171682,2.36149048435793e-05,0.012113265439514
1033,9.14750016751585,-1.4001139215261,0.234575919062314,2.60992073246389e-05,0.013061061850901
55771,9.88581298800652,-0.907959359309634,0.152686264613216,2.70322704180813e-05,0.0132059077247189
3638,9.44565697233212,0.908898080275749,0.155199697487432,3.12212418670368e-05,0.0145822909707688
2015,5.99616668785932,0.846435039870961,0.144751123449788,3.16648569658517e-05,0.0145822909707688
4288,10.1604306070884,-1.03856419505328,0.177904562822498,3.21650449752251e-05,0.0145822909707688
23643,6.11645515750063,1.43818797173059,0.246787300021101,3.2692532637458e-05,0.0145822909707688
8671,8.08690950515638,-0.830694547686099,0.142947914236638,3.35710342314931e-05,0.0146555421353569
639,7.93489707756458,0.833593714800865,0.143968889616711,3.4731700890236e-05,0.0148386867506411
730755,7.35505440169892,1.37944657316457,0.238755480021885,3.54369651418956e-05,0.0148386867506411
6617,11.3236982150153,0.858041535337701,0.149466001260156,3.762211683061e-05,0.0154386118626091
5924,7.50430188455504,-0.674507227078633,0.117775690470337,3.84663319869296e-05,0.0154755333276043
9787,9.45998105944955,-0.917629109274797,0.160723236996608,3.95883770216045e-05,0.0156206599947939
9212,10.7659400339482,-0.734193053591632,0.12893535315902,4.05746120512784e-05,0.0157077337748704
5347,11.6795866183078,-0.943534024852276,0.166559091715941,4.25711830571993e-05,0.015757627603627
163786,9.49340843379023,0.670117391393998,0.118466328099048,4.31500744920193e-05,0.015757627603627
84560,7.4431341609587,0.781230200450004,0.138205355805904,4.34286114896164e-05,0.015757627603627
7923,8.75374645528104,-0.8239739164587,0.145892365190966,4.37754544013423e-05,0.015757627603627
7153,11.5483612145867,-0.842203744173542,0.150180874086839,4.67386007912683e-05,0.0165149857873717
27063,10.5213921472051,1.14028920465266,0.203686713545821,4.74892368386262e-05,0.0165149857873717
2288,11.8368352229323,0.67820958011221,0.121772901696214,4.97984875089589e-05,0.0166316869628635
767,10.112315295104,0.918174561553512,0.165003863108959,5.0203136662925e-05,0.0166316869628635
1063,9.98789664998163,-0.946593747105696,0.17034767487268,5.08488483002397e-05,0.0166316869628635
6529,6.9292327542177,0.853337716731096,0.153876465796232,5.18028074895673e-05,0.0166316869628635
219285,7.08927373130025,0.719060835892409,0.129683667364048,5.18777641886766e-05,0.0166316869628635
80380,7.1511901795269,1.29835265011499,0.235014301083961,5.36408499639656e-05,0.0167054441171203
1475,8.04874205946598,0.905625711490955,0.163975123464274,5.37855203751952e-05,0.0167054441171203
286336,6.94229606662466,0.732732247777998,0.132875146348568,5.4550382875868e-05,0.0167054441171203
5983,10.8236955771381,0.803674778094402,0.146276915200029,5.64176883477351e-05,0.0170232077870416
7638,7.09488047811953,0.903898470272369,0.165691529769817,6.01988196518789e-05,0.0178740059638693
222223,5.66072524165519,1.07094074104015,0.196589431825689,6.09796479905864e-05,0.0178740059638693
24137,9.8683551107887,-0.891757424117131,0.164076206918614,6.22772839054102e-05,0.0179086839806693
283316,7.90169753939971,0.754717672853989,0.139000194907582,6.28436127599272e-05,0.0179086839806693
4161,6.07200551651188,1.1672195824422,0.215452821927382,6.41313835415907e-05,0.0180253113357035
158511,6.29578520017527,0.916050755975464,0.169810467784323,6.6654151792117e-05,0.0184812146820359
644314,7.87865109611296,1.29185724507352,0.240499976630048,6.92859449639128e-05,0.0187418485990072
11010,11.4085039755674,0.662797975717064,0.123417034478098,6.94210202517082e-05,0.0187418485990072
22974,11.6263138247682,-0.658946313127389,0.123155776118004,7.17898114428498e-05,0.0191296539114856
10871,8.65744084175765,0.793665645009357,0.149763815167968,7.8274918656267e-05,0.0205903177049908
51203,10.2265947481316,-0.872706199713527,0.165785233981541,8.31296559361866e-05,0.0215905605126415
9162,6.40633791253192,0.882804133712868,0.16883103729674,8.827204173389e-05,0.0226395719036994
11113,9.45798577254624,-0.709494249032788,0.136699958994061,9.43351778624123e-05,0.0236761067618924
3885,7.30565684781107,0.798803059447436,0.154270013063216,9.63339281005254e-05,0.0236761067618924
60677,7.73717430218107,0.753737293857514,0.145588165675956,9.64609234236499e-05,0.0236761067618924
4496,7.66800369852012,1.11132481430064,0.214774828813191,9.69291825713501e-05,0.0236761067618924
535,11.9833646033342,0.625301879682908,0.12337892751465,0.00011647355689428,0.0281153463571392
1058,10.2787025028932,-0.641806919029541,0.127462845845664,0.000123339691688794,0.0294265557450078
3304,12.0583486317125,0.928852857796791,0.184834963513859,0.000125497235559015,0.0294600557845535
54443,11.1517362222806,-0.855699323812987,0.170409718645889,0.00012635173550252,0.0294600557845535
125228,10.1028148210542,0.797427818725485,0.159189156669833,0.000129055046862647,0.0297522635003123
202151,5.09412584530723,1.04054133656968,0.208290336565909,0.000132181778681507,0.030134508166524
7128,8.67736310242275,1.01640779398042,0.203942143441418,0.000134948930341346,0.0301949506090198
23613,10.0325370959646,0.634951260226371,0.127528182212658,0.000136112337522642,0.0301949506090198
11004,8.34135964078325,-0.789080036861232,0.158584213805864,0.000136861799719215,0.0301949506090198
79339,5.7997879041422,1.04506155199022,0.210562742927405,0.000139922001330942,0.0305416981203008
54478,10.3358119566821,-0.74321090898338,0.149976943818587,0.000141823955974241,0.0306309887229419
4354,9.94568009406996,-0.708694693618066,0.143776809851405,0.000148562988832697,0.0316238936770647
79839,4.66346644405643,0.733540775769582,0.148925648005965,0.000149503737531693,0.0316238936770647
338322,6.84587381894567,1.22129114015598,0.248280260691773,0.000151240579931241,0.0316648389696857
51761,5.67344780445137,0.614801663523356,0.125670528313438,0.000158583123147947,0.0328667527348442
400952,5.18241989304245,0.678311765517094,0.14037855992411,0.000176446330783496,0.0362032581501577
22952,5.26995228777258,0.774762249553183,0.160997860844358,0.000182770241413457,0.0367361204828635
4162,8.20839316007344,-0.902380921885899,0.187790463549947,0.000185065932109023,0.0367361204828635
113179,8.70321653499898,0.609372133300852,0.126987097766021,0.000187246024405488,0.0367361204828635
100130980,7.84164351791889,0.629425986308558,0.131357803810722,0.000189602727827561,0.0367361204828635
11065,9.65179138613976,-0.700451712804997,0.14619704930836,0.000189786699194286,0.0367361204828635
11278,8.31661017898498,-0.660834406467712,0.138268662252782,0.000193832390699495,0.0367361204828635
10457,6.48497190306715,0.709386628579995,0.148464506756856,0.000194246945868994,0.0367361204828635
114043,8.57299286402571,0.814782954830688,0.170687011065341,0.000195854870129266,0.0367361204828635
84649,9.18825468546914,0.617576583202821,0.129401783858718,0.000196205448692649,0.0367361204828635
4128,8.15089012369912,1.11038582460026,0.232763736025119,0.000196947716790866,0.0367361204828635
129025,8.57946102870673,0.867828053028039,0.182411652319975,0.000201558512316102,0.0370620452871696
5266,8.20055208625475,0.822684664824131,0.172998057218029,0.00020230768457759,0.0370620452871696
1062,8.25253775100432,-0.822983695846944,0.17383714902716,0.000210167367914971,0.0381611863263661
84791,8.47601768111574,-0.83882590048242,0.17775986367908,0.000216049637756044,0.038885144451566
6543,7.49192070496085,0.662940437388897,0.141143850041873,0.000224766915139902,0.0398091895943152
8864,9.28954596339045,-0.65668309839503,0.139833441864506,0.000225064138460891,0.0398091895943152
163720,5.61268198700164,0.973144080074539,0.209297993410808,0.000244851123957846,0.0428861271196253
